Edo_code,edo,Date,Pop,Confirmed.Cases,C.Deaths ,Hbedsx10000
1,Aguascalientes,15/03/2020,1312544,1,0,7.36
2,Baja California,15/03/2020,3315766,0,0,6.49
3,Baja California Sur,15/03/2020,712029,0,0,9.76
4,Campeche,15/03/2020,899931,0,0,8.78
5,Coahuila,15/03/2020,2954915,1,0,9.86
6,Colima,15/03/2020,711235,0,0,9.12
7,Chiapas,15/03/2020,5217908,1,0,4.33
8,Chihuahua,15/03/2020,3556574,0,0,8.2
9,Ciudad de México,15/03/2020,8918653,18,0,17.53
10,Durango,15/03/2020,1754754,1,0,8.79
11,Guanajuato,15/03/2020,5853677,0,0,6.25
12,Guerrero,15/03/2020,3533251,0,0,5.87
13,Hidalgo,15/03/2020,2858359,0,0,4.78
14,Jalisco,15/03/2020,7844830,2,0,8.23
15,Estado de México,15/03/2020,16187608,4,0,5.16
16,Michoacán,15/03/2020,4584471,0,0,5.78
17,Morelos,15/03/2020,1903811,0,0,5.5
18,Nayarit,15/03/2020,1181050,0,0,6.05
19,Nuevo León,15/03/2020,5119504,5,0,7.96
20,Oaxaca,15/03/2020,3967889,2,0,5.93
21,Puebla,15/03/2020,6168883,6,0,6.5
22,Querétaro,15/03/2020,2038372,6,0,4.32
23,Quintana Roo,15/03/2020,1501562,1,0,6.86
24,San Luis Potosí,15/03/2020,2717820,2,0,7.44
25,Sinaloa,15/03/2020,2966321,2,0,8.03
26,Sonora,15/03/2020,2850330,0,0,10.15
27,Tabasco,15/03/2020,2395272,0,0,6.61
28,Tamaulipas,15/03/2020,3441698,0,0,8.65
29,Tlaxcala,15/03/2020,1272847,0,0,5.61
30,Veracruz,15/03/2020,8112505,0,0,6.16
31,Yucatán,15/03/2020,2097175,1,0,8.58
32,Zacatecas,15/03/2020,1579209,0,0,6.33
1,Aguascalientes,16/03/2020,1312544,1,0,7.36
2,Baja California,16/03/2020,3315766,0,0,6.49
3,Baja California Sur,16/03/2020,712029,0,0,9.76
4,Campeche,16/03/2020,899931,0,0,8.78
5,Coahuila,16/03/2020,2954915,1,0,9.86
6,Colima,16/03/2020,711235,0,0,9.12
7,Chiapas,16/03/2020,5217908,1,0,4.33
8,Chihuahua,16/03/2020,3556574,0,0,8.2
9,Ciudad de México,16/03/2020,8918653,21,0,17.53
10,Durango,16/03/2020,1754754,3,0,8.79
11,Guanajuato,16/03/2020,5853677,0,0,6.25
12,Guerrero,16/03/2020,3533251,2,0,5.87
13,Hidalgo,16/03/2020,2858359,0,0,4.78
14,Jalisco,16/03/2020,7844830,2,0,8.23
15,Estado de México,16/03/2020,16187608,9,0,5.16
16,Michoacán,16/03/2020,4584471,0,0,5.78
17,Morelos,16/03/2020,1903811,0,0,5.5
18,Nayarit,16/03/2020,1181050,0,0,6.05
19,Nuevo León,16/03/2020,5119504,13,0,7.96
20,Oaxaca,16/03/2020,3967889,2,0,5.93
21,Puebla,16/03/2020,6168883,8,0,6.5
22,Querétaro,16/03/2020,2038372,7,0,4.32
23,Quintana Roo,16/03/2020,1501562,4,0,6.86
24,San Luis Potosí,16/03/2020,2717820,2,0,7.44
25,Sinaloa,16/03/2020,2966321,2,0,8.03
26,Sonora,16/03/2020,2850330,0,0,10.15
27,Tabasco,16/03/2020,2395272,0,0,6.61
28,Tamaulipas,16/03/2020,3441698,0,0,8.65
29,Tlaxcala,16/03/2020,1272847,0,0,5.61
30,Veracruz,16/03/2020,8112505,0,0,6.16
31,Yucatán,16/03/2020,2097175,4,0,8.58
32,Zacatecas,16/03/2020,1579209,0,0,6.33
1,Aguascalientes,17/03/2020,1312544,1,0,7.36
2,Baja California,17/03/2020,3315766,0,0,6.49
3,Baja California Sur,17/03/2020,712029,0,0,9.76
4,Campeche,17/03/2020,899931,0,0,8.78
5,Coahuila,17/03/2020,2954915,1,0,9.86
6,Colima,17/03/2020,711235,0,0,9.12
7,Chiapas,17/03/2020,5217908,1,0,4.33
8,Chihuahua,17/03/2020,3556574,1,0,8.2
9,Ciudad de México,17/03/2020,8918653,21,0,17.53
10,Durango,17/03/2020,1754754,3,0,8.79
11,Guanajuato,17/03/2020,5853677,1,0,6.25
12,Guerrero,17/03/2020,3533251,2,0,5.87
13,Hidalgo,17/03/2020,2858359,0,0,4.78
14,Jalisco,17/03/2020,7844830,5,0,8.23
15,Estado de México,17/03/2020,16187608,10,0,5.16
16,Michoacán,17/03/2020,4584471,0,0,5.78
17,Morelos,17/03/2020,1903811,0,0,5.5
18,Nayarit,17/03/2020,1181050,0,0,6.05
19,Nuevo León,17/03/2020,5119504,14,0,7.96
20,Oaxaca,17/03/2020,3967889,2,0,5.93
21,Puebla,17/03/2020,6168883,9,0,6.5
22,Querétaro,17/03/2020,2038372,7,0,4.32
23,Quintana Roo,17/03/2020,1501562,4,0,6.86
24,San Luis Potosí,17/03/2020,2717820,2,0,7.44
25,Sinaloa,17/03/2020,2966321,2,0,8.03
26,Sonora,17/03/2020,2850330,1,0,10.15
27,Tabasco,17/03/2020,2395272,0,0,6.61
28,Tamaulipas,17/03/2020,3441698,1,0,8.65
29,Tlaxcala,17/03/2020,1272847,0,0,5.61
30,Veracruz,17/03/2020,8112505,0,0,6.16
31,Yucatán,17/03/2020,2097175,5,0,8.58
32,Zacatecas,17/03/2020,1579209,0,0,6.33
1,Aguascalientes,18/03/2020,1312544,1,0,7.36
2,Baja California,18/03/2020,3315766,2,0,6.49
3,Baja California Sur,18/03/2020,712029,0,0,9.76
4,Campeche,18/03/2020,899931,0,0,8.78
5,Coahuila,18/03/2020,2954915,1,0,9.86
6,Colima,18/03/2020,711235,1,0,9.12
7,Chiapas,18/03/2020,5217908,1,0,4.33
8,Chihuahua,18/03/2020,3556574,1,0,8.2
9,Ciudad de México,18/03/2020,8918653,24,0,17.53
10,Durango,18/03/2020,1754754,3,0,8.79
11,Guanajuato,18/03/2020,5853677,4,0,6.25
12,Guerrero,18/03/2020,3533251,2,0,5.87
13,Hidalgo,18/03/2020,2858359,0,0,4.78
14,Jalisco,18/03/2020,7844830,6,0,8.23
15,Estado de México,18/03/2020,16187608,10,0,5.16
16,Michoacán,18/03/2020,4584471,0,0,5.78
17,Morelos,18/03/2020,1903811,0,0,5.5
18,Nayarit,18/03/2020,1181050,0,0,6.05
19,Nuevo León,18/03/2020,5119504,19,0,7.96
20,Oaxaca,18/03/2020,3967889,2,0,5.93
21,Puebla,18/03/2020,6168883,9,0,6.5
22,Querétaro,18/03/2020,2038372,7,0,4.32
23,Quintana Roo,18/03/2020,1501562,6,0,6.86
24,San Luis Potosí,18/03/2020,2717820,3,0,7.44
25,Sinaloa,18/03/2020,2966321,2,0,8.03
26,Sonora,18/03/2020,2850330,1,0,10.15
27,Tabasco,18/03/2020,2395272,1,0,6.61
28,Tamaulipas,18/03/2020,3441698,2,0,8.65
29,Tlaxcala,18/03/2020,1272847,0,0,5.61
30,Veracruz,18/03/2020,8112505,2,0,6.16
31,Yucatán,18/03/2020,2097175,8,0,8.58
32,Zacatecas,18/03/2020,1579209,0,0,6.33
1,Aguascalientes,19/03/2020,1312544,4,0,7.36
2,Baja California,19/03/2020,3315766,2,0,6.49
3,Baja California Sur,19/03/2020,712029,0,0,9.76
4,Campeche,19/03/2020,899931,0,0,8.78
5,Coahuila,19/03/2020,2954915,1,0,9.86
6,Colima,19/03/2020,711235,1,0,9.12
7,Chiapas,19/03/2020,5217908,2,0,4.33
8,Chihuahua,19/03/2020,3556574,1,0,8.2
9,Ciudad de México,19/03/2020,8918653,31,0,17.53
10,Durango,19/03/2020,1754754,3,0,8.79
11,Guanajuato,19/03/2020,5853677,4,0,6.25
12,Guerrero,19/03/2020,3533251,4,0,5.87
13,Hidalgo,19/03/2020,2858359,2,0,4.78
14,Jalisco,19/03/2020,7844830,22,0,8.23
15,Estado de México,19/03/2020,16187608,10,0,5.16
16,Michoacán,19/03/2020,4584471,0,0,5.78
17,Morelos,19/03/2020,1903811,0,0,5.5
18,Nayarit,19/03/2020,1181050,0,0,6.05
19,Nuevo León,19/03/2020,5119504,19,0,7.96
20,Oaxaca,19/03/2020,3967889,2,0,5.93
21,Puebla,19/03/2020,6168883,11,0,6.5
22,Querétaro,19/03/2020,2038372,9,0,4.32
23,Quintana Roo,19/03/2020,1501562,6,0,6.86
24,San Luis Potosí,19/03/2020,2717820,7,0,7.44
25,Sinaloa,19/03/2020,2966321,3,0,8.03
26,Sonora,19/03/2020,2850330,2,0,10.15
27,Tabasco,19/03/2020,2395272,1,0,6.61
28,Tamaulipas,19/03/2020,3441698,2,0,8.65
29,Tlaxcala,19/03/2020,1272847,0,0,5.61
30,Veracruz,19/03/2020,8112505,2,0,6.16
31,Yucatán,19/03/2020,2097175,13,0,8.58
32,Zacatecas,19/03/2020,1579209,0,0,6.33
1,Aguascalientes,20/03/2020,1312544,4,0,7.36
2,Baja California,20/03/2020,3315766,4,0,6.49
3,Baja California Sur,20/03/2020,712029,0,0,9.76
4,Campeche,20/03/2020,899931,0,0,8.78
5,Coahuila,20/03/2020,2954915,1,0,9.86
6,Colima,20/03/2020,711235,1,0,9.12
7,Chiapas,20/03/2020,5217908,2,0,4.33
8,Chihuahua,20/03/2020,3556574,2,0,8.2
9,Ciudad de México,20/03/2020,8918653,31,1,17.53
10,Durango,20/03/2020,1754754,4,1,8.79
11,Guanajuato,20/03/2020,5853677,4,0,6.25
12,Guerrero,20/03/2020,3533251,4,0,5.87
13,Hidalgo,20/03/2020,2858359,2,0,4.78
14,Jalisco,20/03/2020,7844830,28,0,8.23
15,Estado de México,20/03/2020,16187608,14,0,5.16
16,Michoacán,20/03/2020,4584471,0,0,5.78
17,Morelos,20/03/2020,1903811,2,0,5.5
18,Nayarit,20/03/2020,1181050,0,0,6.05
19,Nuevo León,20/03/2020,5119504,29,0,7.96
20,Oaxaca,20/03/2020,3967889,2,0,5.93
21,Puebla,20/03/2020,6168883,14,0,6.5
22,Querétaro,20/03/2020,2038372,11,0,4.32
23,Quintana Roo,20/03/2020,1501562,11,0,6.86
24,San Luis Potosí,20/03/2020,2717820,7,0,7.44
25,Sinaloa,20/03/2020,2966321,3,0,8.03
26,Sonora,20/03/2020,2850330,2,0,10.15
27,Tabasco,20/03/2020,2395272,2,0,6.61
28,Tamaulipas,20/03/2020,3441698,2,0,8.65
29,Tlaxcala,20/03/2020,1272847,0,0,5.61
30,Veracruz,20/03/2020,8112505,4,0,6.16
31,Yucatán,20/03/2020,2097175,13,0,8.58
32,Zacatecas,20/03/2020,1579209,0,0,6.33
1,Aguascalientes,21/03/2020,1312544,4,0,7.36
2,Baja California,21/03/2020,3315766,8,0,6.49
3,Baja California Sur,21/03/2020,712029,1,0,9.76
4,Campeche,21/03/2020,899931,0,0,8.78
5,Coahuila,21/03/2020,2954915,3,0,9.86
6,Colima,21/03/2020,711235,2,0,9.12
7,Chiapas,21/03/2020,5217908,2,0,4.33
8,Chihuahua,21/03/2020,3556574,2,0,8.2
9,Ciudad de México,21/03/2020,8918653,45,1,17.53
10,Durango,21/03/2020,1754754,5,1,8.79
11,Guanajuato,21/03/2020,5853677,4,0,6.25
12,Guerrero,21/03/2020,3533251,4,0,5.87
13,Hidalgo,21/03/2020,2858359,3,0,4.78
14,Jalisco,21/03/2020,7844830,32,0,8.23
15,Estado de México,21/03/2020,16187608,14,0,5.16
16,Michoacán,21/03/2020,4584471,0,0,5.78
17,Morelos,21/03/2020,1903811,2,0,5.5
18,Nayarit,21/03/2020,1181050,1,0,6.05
19,Nuevo León,21/03/2020,5119504,32,0,7.96
20,Oaxaca,21/03/2020,3967889,2,0,5.93
21,Puebla,21/03/2020,6168883,16,0,6.5
22,Querétaro,21/03/2020,2038372,14,0,4.32
23,Quintana Roo,21/03/2020,1501562,12,0,6.86
24,San Luis Potosí,21/03/2020,2717820,9,0,7.44
25,Sinaloa,21/03/2020,2966321,3,0,8.03
